number,short_description,state,active,assignment_group,product,schedule_end_date,schedule_start_date,end_date,start_date,actual_duration,actual_effort,percent_complete,opened,closed,completed_points,original_end_date,original_start_date,planned_duration,remaining_effort
rtcSprint00000032,"Sprint 17 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2019-05-24 17:00:00,2019-05-05 08:00:00,2019-05-24 17:00:00,2019-05-05 08:00:00,1674000,0,100,2019-05-05 08:00:00,2019-05-24 17:00:00,0,2019-05-24 17:00:00,2019-05-05 08:00:00,1674000,0
rtcSprint00000031,"Sprint 16 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2019-05-03 17:00:00,2019-04-14 08:00:00,2019-05-03 17:00:00,2019-04-14 08:00:00,1674000,0,100,2019-04-14 08:00:00,2019-05-03 17:00:00,0,2019-05-03 17:00:00,2019-04-14 08:00:00,1674000,0
rtcSprint00000028,"Sprint 13 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2019-03-01 17:00:00,2019-02-10 08:00:00,2019-03-01 17:00:00,2019-02-10 08:00:00,1674000,0,100,2019-02-10 08:00:00,2019-03-01 17:00:00,0,2019-03-01 17:00:00,2019-02-10 08:00:00,1674000,0
rtcSprint00000027,"Sprint 12 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2019-02-08 17:00:00,2019-01-20 08:00:00,2019-02-08 17:00:00,2019-01-20 08:00:00,1674000,0,100,2019-01-20 08:00:00,2019-02-08 17:00:00,0,2019-02-08 17:00:00,2019-01-20 08:00:00,1674000,0
rtcSprint00000026,"Sprint 11 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2019-01-18 17:00:00,2018-12-30 08:00:00,2019-01-18 17:00:00,2018-12-30 08:00:00,1674000,0,100,2018-12-30 08:00:00,2019-01-18 17:00:00,0,2019-01-18 17:00:00,2018-12-30 08:00:00,1674000,0
rtcSprint00000025,"Sprint 10 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-12-28 17:00:00,2018-12-09 08:00:00,2018-12-28 17:00:00,2018-12-09 08:00:00,1674000,0,100,2018-12-09 08:00:00,2018-12-28 17:00:00,0,2018-12-28 17:00:00,2018-12-09 08:00:00,1674000,0
rtcSprint00000024,"Sprint 9 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-12-07 17:00:00,2018-11-18 08:00:00,2018-12-07 17:00:00,2018-11-18 08:00:00,1674000,0,100,2018-11-18 08:00:00,2018-12-07 17:00:00,0,2018-12-07 17:00:00,2018-11-18 08:00:00,1674000,0
rtcSprint00000023,"Sprint 8 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-11-16 17:00:00,2018-10-28 08:00:00,2018-11-16 17:00:00,2018-10-28 08:00:00,1674000,0,100,2018-10-28 08:00:00,2018-11-16 17:00:00,0,2018-11-16 17:00:00,2018-10-28 08:00:00,1674000,0
rtcSprint00000022,"Sprint 7 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-10-26 17:00:00,2018-10-07 08:00:00,2018-10-26 17:00:00,2018-10-07 08:00:00,1674000,0,100,2018-10-07 08:00:00,2018-10-26 17:00:00,0,2018-10-26 17:00:00,2018-10-07 08:00:00,1674000,0
rtcSprint00000021,"Sprint 6 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-10-05 17:00:00,2018-09-16 08:00:00,2018-10-05 17:00:00,2018-09-16 08:00:00,1674000,0,100,2018-09-16 08:00:00,2018-10-05 17:00:00,0,2018-10-05 17:00:00,2018-09-16 08:00:00,1674000,0
rtcSprint00000020,"Sprint 5 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-09-14 17:00:00,2018-08-26 08:00:00,2018-09-14 17:00:00,2018-08-26 08:00:00,1674000,0,100,2018-08-26 08:00:00,2018-09-14 17:00:00,0,2018-09-14 17:00:00,2018-08-26 08:00:00,1674000,0
rtcSprint00000019,"Sprint 4 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-08-24 17:00:00,2018-08-05 08:00:00,2018-08-24 17:00:00,2018-08-05 08:00:00,1674000,0,100,2018-08-05 08:00:00,2018-08-24 17:00:00,0,2018-08-24 17:00:00,2018-08-05 08:00:00,1674000,0
rtcSprint00000018,"Sprint 3 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-08-03 17:00:00,2018-07-15 08:00:00,2018-08-03 17:00:00,2018-07-15 08:00:00,1674000,0,100,2018-07-15 08:00:00,2018-08-03 17:00:00,0,2018-08-03 17:00:00,2018-07-15 08:00:00,1674000,0
rtcSprint00000017,"Sprint 2 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-07-13 17:00:00,2018-06-24 08:00:00,2018-07-13 17:00:00,2018-06-24 08:00:00,1674000,0,100,2018-06-24 08:00:00,2018-07-13 17:00:00,0,2018-07-13 17:00:00,2018-06-24 08:00:00,1674000,0
rtcSprint00000016,"Sprint 1 Backlog (OY1)",Complete,false,VIP Team,VA VIP Dashboard,2018-06-22 17:00:00,2018-06-03 08:00:00,2018-06-22 17:00:00,2018-06-03 08:00:00,1674000,0,100,2018-06-03 08:00:00,2018-06-22 17:00:00,0,2018-06-22 17:00:00,2018-06-03 08:00:00,1674000,0
rtcSprint00000015,"Sprint 15 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-05-24 17:00:00,2018-05-06 08:00:00,2018-05-24 17:00:00,2018-05-06 08:00:00,1587600,0,100,2018-05-06 08:00:00,2018-05-24 17:00:00,0,2018-05-24 17:00:00,2018-05-06 08:00:00,1587600,0
rtcSprint00000014,"Sprint 14 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-05-03 17:00:00,2018-04-15 08:00:00,2018-05-03 17:00:00,2018-04-15 08:00:00,1587600,0,100,2018-04-15 08:00:00,2018-05-03 17:00:00,0,2018-05-03 17:00:00,2018-04-15 08:00:00,1587600,0
rtcSprint00000013,"Sprint 13 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-04-12 17:00:00,2018-03-25 08:00:00,2018-04-12 17:00:00,2018-03-25 08:00:00,1587600,0,100,2018-03-25 08:00:00,2018-04-12 17:00:00,0,2018-04-12 17:00:00,2018-03-25 08:00:00,1587600,0
rtcSprint00000012,"Sprint 12 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-03-22 17:00:00,2018-03-04 08:00:00,2018-03-22 17:00:00,2018-03-04 08:00:00,1587600,0,100,2018-03-04 08:00:00,2018-03-22 17:00:00,0,2018-03-22 17:00:00,2018-03-04 08:00:00,1587600,0
rtcSprint00000011,"Sprint 11 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-03-01 17:00:00,2018-02-11 08:00:00,2018-03-01 17:00:00,2018-02-11 08:00:00,1587600,0,100,2018-02-11 08:00:00,2018-03-01 17:00:00,0,2018-03-01 17:00:00,2018-02-11 08:00:00,1587600,0
rtcSprint00000010,"Sprint 10 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-02-08 17:00:00,2018-01-21 08:00:00,2018-02-08 17:00:00,2018-01-21 08:00:00,1587600,0,100,2018-01-21 08:00:00,2018-02-08 17:00:00,0,2018-02-08 17:00:00,2018-01-21 08:00:00,1587600,0
rtcSprint00000009,"Sprint 9 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-01-18 17:00:00,2018-01-01 08:00:00,2018-01-18 17:00:00,2018-01-01 08:00:00,1501200,0,100,2018-01-01 08:00:00,2018-01-18 17:00:00,0,2018-01-18 17:00:00,2018-01-01 08:00:00,1501200,0
rtcSprint00000008,"Sprint 8 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-12-22 17:00:00,2017-12-03 08:00:00,2017-12-22 17:00:00,2017-12-03 08:00:00,1674000,0,100,2017-12-03 08:00:00,2017-12-22 17:00:00,0,2017-12-22 17:00:00,2017-12-03 08:00:00,1674000,0
rtcSprint00000007,"Sprint 7 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-12-01 17:00:00,2017-11-12 08:00:00,2017-12-01 17:00:00,2017-11-12 08:00:00,1674000,0,100,2017-11-12 08:00:00,2017-12-01 17:00:00,0,2017-12-01 17:00:00,2017-11-12 08:00:00,1674000,0
rtcSprint00000006,"Sprint 6 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-11-10 17:00:00,2017-10-22 08:00:00,2017-11-10 17:00:00,2017-10-22 08:00:00,1674000,0,100,2017-10-22 08:00:00,2017-11-10 17:00:00,0,2017-11-10 17:00:00,2017-10-22 08:00:00,1674000,0
rtcSprint00000005,"Sprint 5 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-10-20 17:00:00,2017-10-01 08:00:00,2017-10-20 17:00:00,2017-10-01 08:00:00,1674000,0,100,2017-10-01 08:00:00,2017-10-20 17:00:00,0,2017-10-20 17:00:00,2017-10-01 08:00:00,1674000,0
rtcSprint00000004,"Sprint 4 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-09-29 17:00:00,2017-09-10 08:00:00,2017-09-29 17:00:00,2017-09-10 08:00:00,1674000,0,100,2017-09-10 08:00:00,2017-09-29 17:00:00,0,2017-09-29 17:00:00,2017-09-10 08:00:00,1674000,0
rtcSprint00000003,"Sprint 3 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-09-08 17:00:00,2017-08-20 08:00:00,2017-09-08 17:00:00,2017-08-20 08:00:00,1674000,0,100,2017-08-20 08:00:00,2017-09-08 17:00:00,0,2017-09-08 17:00:00,2017-08-20 08:00:00,1674000,0
rtcSprint00000002,"Sprint 2 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-08-18 17:00:00,2017-07-30 08:00:00,2017-08-18 17:00:00,2017-07-30 08:00:00,1674000,0,100,2017-07-30 08:00:00,2017-08-18 17:00:00,0,2017-08-18 17:00:00,2017-07-30 08:00:00,1674000,0
rtcSprint00000001,"Sprint 1 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-07-28 17:00:00,2017-07-09 08:00:00,2017-07-28 17:00:00,2017-07-09 08:00:00,1674000,0,100,2017-07-09 08:00:00,2017-07-28 17:00:00,0,2017-07-28 17:00:00,2017-07-09 08:00:00,1674000,0
